,keyword,category,Explanation
152,lsbar,Pedophilia,
153,lsm,Pedophilia,
154,lsn,Pedophilia,
155,lso,Pedophilia,
156,lsp,Pedophilia,
157,lsw,Pedophilia,
158,lucie,Pedophilia,
159,luto,Pedophilia,
160,madnet,Pedophilia,
161,maﬁasex,Pedophilia,
162,magazine,Pedophilia,
163,map,Pedophilia,
164,mara,Pedophilia,
165,maryanne,Pedophilia,
166,mellony,Pedophilia,
167,model,Pedophilia,
168,moscow,Pedophilia,
169,mpg,Pedophilia,
170,mylola,Pedophilia,
171,nablot,Pedophilia,
172,nancy,Pedophilia,
173,nansy,Pedophilia,
174,new,Pedophilia,
175,newcaps,Pedophilia,
176,newer,Pedophilia,
177,newstar,Pedophilia,
178,nimbus,Pedophilia,
179,nimphets,Pedophilia,
180,nn,Pedophilia,
181,nobull,Pedophilia,
182,november,Pedophilia,
183,novinhas,Pedophilia,
184,nude,Pedophilia,
185,nude01,Pedophilia,
186,nudis,Pedophilia,
187,old,Pedophilia,
188,olds,Pedophilia,
189,pae,Pedophilia,
190,pak,Pedophilia,
191,pedo,Pedophilia,
192,pedoﬁlia,Pedophilia,
193,peepee,Pedophilia,
194,petersburg,Pedophilia,
195,phantom,Pedophilia,
196,playtoy,Pedophilia,
197,porn,Pedophilia,
198,pre,Pedophilia,
199,preteen,Pedophilia,
200,preteenz,Pedophilia,
201,pretten,Pedophilia,
202,private,Pedophilia,
203,prt,Pedophilia,
204,pt,Pedophilia,
205,ptﬀ,Pedophilia,
206,pthc,Pedophilia,
207,ptsc,Pedophilia,
208,pussy,Pedophilia,
209,qqaazz,Pedophilia,
210,qsh,Pedophilia,
211,rape,Pedophilia,
212,rar,Pedophilia,
213,rbv,Pedophilia,
214,reallola,Pedophilia,
215,rebone,Pedophilia,
216,rizmastar,Pedophilia,
217,sandra,Pedophilia,
218,sex,Pedophilia,
219,soﬁe,Pedophilia,
220,spam,Pedophilia,
221,spreading,Pedophilia,
222,st,Pedophilia,
223,step,Pedophilia,
224,suwano,Pedophilia,
225,teal,Pedophilia,
226,teen,Pedophilia,
227,thor,Pedophilia,
228,tochter,Pedophilia,
229,tori,Pedophilia,
230,torture,Pedophilia,
231,u15,Pedophilia,
232,ultra,Pedophilia,
233,underage,Pedophilia,
234,until,Pedophilia,
235,uvs,Pedophilia,
236,v10040,Pedophilia,
237,v132,Pedophilia,
238,valya,Pedophilia,
239,vater,Pedophilia,
240,vdbest,Pedophilia,
241,ver,Pedophilia,
242,vicky,Pedophilia,
243,weekend,Pedophilia,
244,witch,Pedophilia,
245,xlola,Pedophilia,
246,yamad,Pedophilia,
247,ye,Pedophilia,
248,yelitza,Pedophilia,
249,yg,Pedophilia,
250,ygold,Pedophilia,
251,young,Pedophilia,
252,1yo,Pedophilia,
253,2yo,Pedophilia,
254,2yo,Pedophilia,
255,4yo,Pedophilia,
256,5yo,Pedophilia,
257,6yo,Pedophilia,
258,7yo,Pedophilia,
259,8yo,Pedophilia,
260,9yo,Pedophilia,
261,10yo,Pedophilia,
262,11yo,Pedophilia,
263,12yo,Pedophilia,
264,13yo,Pedophilia,
265,ezik007,Pedophilia,
266,zadoom,Pedophilia,
267,vtcap,Pedophilia,
268,extremep2p,Pedophilia,
269,rbv,Pedophilia,
270,beerbarrell,Pedophilia,
271,Stepdaughter,Pedophilia,
272,Stepfather,Pedophilia,
273,Humiliation,Pedophilia,
274,Destroyed,Pedophilia,
275,"Deepfake, fake porn",Pedophilia,
276,"Stalker, Stalking",Pedophilia,
277,Harassment,Pedophilia,
278,cyberstalking,Pedophilia,
279,Trolling,Pedophilia,
280,indecent,Pedophilia,
281,Infadel,Radicalization,
282,isis,Radicalization,
283,guntrader,Radicalization,
284,hamas,Radicalization,
285,rockets,Radicalization,
286,hezzbollah,Radicalization,
287,patriots,Radicalization,
288,twin towers,Radicalization,
289,AQ,Radicalization,
290,AQ-I,Radicalization,
291,AQ-A,Radicalization,
292,En,Radicalization,
293,serbest,Radicalization,
294,eyalette,Radicalization,
295,bomba,Radicalization,
296,atara,Radicalization,
297,izin,Radicalization,
298,veriyolar,Radicalization,
299,attığı,Radicalization,
300,mühimmat,Radicalization,
301,sahte,Radicalization,
302,boş,Radicalization,
303,bomba,Radicalization,
304,free state,Radicalization,
305,3d gun,Radicalization,
306,gun,Radicalization,
307,Humza,Radicalization,
308,militant Muslims,Radicalization,
309,Malik Faisal Akram,Radicalization,
310,Al Shaabab,Radicalization,
311,Daesh,Radicalization,
312,Da’esh,Radicalization,
313,Al Qaida,Radicalization,
314,AL-NUSRAH FRONT,Radicalization,
315,AL-QA'IDA IN THE LANDS OF THE ISLAMIC MAGHREB,Radicalization,
316,Nasir al-Wahishi,Radicalization,
317,AQAP,Radicalization,
318,Imirat Kavkaz,Radicalization,
319,Abu Usman Gimrinskiy,Radicalization,
320,Magomed Suleymanov,Radicalization,
321,The Islamic Jihad Union,Radicalization,
322,IJU,Radicalization,
323,BOKO HARAM,Radicalization,
324,Abubakar Shekau,Radicalization,
325,SPF,Radicalization,
326,Group of Popular Rebels,Radicalization,
327,Zero Tolerance Organization,Radicalization,
328,LORD'S RESISTANCE ARMY,Radicalization,
329,LRA,Radicalization,
330,Joseph Kony,Radicalization,
331,Dominic Ongwen,Radicalization,
332,TEHRIK-E TALIBAN PAKISTAN,Radicalization,
333,TTP,Radicalization,
334,"Baitullah Mehsud,",Radicalization,
335,Hakimullah Mehsud,Radicalization,
336,Mullah Fazlullah,Radicalization,
337,Malala Yousafzai,Radicalization,
338,Lashkar-e-Jhangvi,Radicalization,
339,Sipah-i-Sahaba Pakistan,Radicalization,
340,Akram Lahori,Radicalization,
341,Qari Zafar group,Radicalization,
342,The Revolutionary People’s Liberation Party,Radicalization,
343,The Revolutionary People’s Liberation Front,Radicalization,
344,DHKP,Radicalization,
345,DHKC,Radicalization,
346,Devrimci Sol,Radicalization,
347,Dev Sol,Radicalization,
348,Kongra-Gel,Radicalization,
349,KGK,Radicalization,
350,"Kurdistan Workers’ Party,",Radicalization,
351,PKK,Radicalization,
352,ANSAR AL-SHARIA,Radicalization,
353,Partisans of Islamic Law.,Radicalization,
354,Abu Khalid al-Madani,Radicalization,
355,Ansar al-Sharia in Tunisia,Radicalization,
356,HEZB-E-ISLAMI GULBUDDIN,Radicalization,
357,HIG,Radicalization,
358,Party of Islam,Radicalization,
359,Ghairat Baheer,Radicalization,
360,Qutbuddin Hilal,Radicalization,
361,ISIS-DRC,Radicalization,
362,ISIS-Mozambique,Radicalization,
363,Harakat Sawa’d Misr,Radicalization,
364,Islamic Revolutionary Guard Corps,Radicalization,
365,IRGC,Radicalization,
366,Jama’at Nusrat al-Islam wal-Muslimin,Radicalization,
367,ISIS in the Greater Sahara,Radicalization,
368,ISIS-West Africa,Radicalization,
369,Revolutionary Armed Forces of Colombia,Radicalization,
370,FARC,Radicalization,
371,Islamic State’s Khorasan Province,Radicalization,
372,Hay’at Tahrir al-Sham,Radicalization,
373,Jabhat Fath al-Sham Amendment,Radicalization,
374,Hay’at Tahrir al-Sham Amendment,Radicalization,
375,ISIS-Sinai Province,Radicalization,
376,Sayyid Qutb,Radicalization,
377,Ansar Bayt al-Maqdis,Radicalization,
378,Ansar al-Shari’a in Benghazi,Radicalization,
379,al-Mulathamun Battalion,Radicalization,
380,Haqqani Network,Radicalization,
381,Jaish-e-Mohammed,Radicalization,
382,Al-Aqsa Martyrs Brigade,Radicalization,
383,Communist Party of the Philippines,Radicalization,
384,Lashkar i Jhangvi,Radicalization,
385,Islamic Jihad Union,Radicalization,
386,Kata’ib Hizballah,Radicalization,
387,Jemaah Anshorut Tauhid,Radicalization,
388,Khmer Rouge,Radicalization,
389,Manuel Rodriguez Patriotic Front Dissidents,Radicalization,
390,HTS,Radicalization,
391,Hayat Tahrir al-Sham,Radicalization,
392,Abdallah Azzam,Radicalization,
393,jihad,Radicalization,
394,Conspiracy theories,Radicalization,
395,weapons,Radicalization,
396,build a bomb,Radicalization,
397,plan an attack,Radicalization,
398,school attack,Radicalization,
399,anger,Radicalization,
400,ideology,Radicalization,
401,syria,Radicalization,
402,ukraine,Radicalization,
403,russia,Radicalization,
404,Libyan Islamic Fighting Group,Radicalization,
405,LIFG,Radicalization,
406,AAB,Radicalization,
407,ANO,Radicalization,
408,17 November,Radicalization,
409,17N,Radicalization,
410,AAB,Radicalization,
411,ANO,Radicalization,
412,ASG,Radicalization,
413,GI,Radicalization,
414,AIAI,Radicalization,
415,AQ,Radicalization,
416,AI,Radicalization,
417,AAS-B,Radicalization,
418,AAS-T,Radicalization,
419,AS,Radicalization,
420,ABM,Radicalization,
421,Ansaru,Radicalization,
422,GIA,Radicalization,
423,AWD,Radicalization,
424,BK,Radicalization,
425,ETA,Radicalization,
426,BLA,Radicalization,
427,BH,Radicalization,
428,EIJ,Radicalization,
429,FKD,Radicalization,
430,GIMF,Radicalization,
431,GICM,Radicalization,
432,HUJI,Radicalization,
433,HUJI-B,Radicalization,
434,HuM/A,Radicalization,
435,HM,Radicalization,
436,HQN,Radicalization,
437,Hasm,Radicalization,
438,IK,Radicalization,
439,IM,Radicalization,
440,IAA,Radicalization,
441,IJU,Radicalization,
442,IMU,Radicalization,
443,JeM,Radicalization,
444,JAD,Radicalization,
445,JNIM,Radicalization,
446,JuA,Radicalization,
447,JMB,Radicalization,
448,JuF,Radicalization,
449,JKI,Radicalization,
450,JI,Radicalization,
451,JAA,Radicalization,
452,JaK-A,Radicalization,
453,KaK,Radicalization,
454,LeT,Radicalization,
455,LTTE,Radicalization,
456,PIJ,Radicalization,
457,PKK,Radicalization,
458,PFLP-GC,Radicalization,
459,DHKP-C,Radicalization,
460,GSPC,Radicalization,
461,SSP,Radicalization,
462,SKD,Radicalization,
463,TNSM,Radicalization,
464,TTP,Radicalization,
465,TIP,Radicalization,
466,THKP-C,Radicalization,
467,Continuity,Radicalization,
468,Army,Radicalization,
469,Council,Radicalization,
470,Cumann,Radicalization,
471,na,Radicalization,
472,mBan,Radicalization,
473,Fianna,Radicalization,
474,na,Radicalization,
475,hÉireann,Radicalization,
476,Irish,Radicalization,
477,National,Radicalization,
478,Liberation,Radicalization,
479,Army,Radicalization,
480,Irish,Radicalization,
481,People's,Radicalization,
482,Liberation,Radicalization,
483,Organisation,Radicalization,
484,Irish,Radicalization,
485,Republican,Radicalization,
486,Army,Radicalization,
487,Loyalist,Radicalization,
488,Volunteer,Radicalization,
489,Force,Radicalization,
490,Orange,Radicalization,
491,Volunteers,Radicalization,
492,Red,Radicalization,
493,Hand,Radicalization,
494,Commando,Radicalization,
495,Red,Radicalization,
496,Hand,Radicalization,
497,Defenders,Radicalization,
498,Saor,Radicalization,
499,Éire,Radicalization,
500,Ulster,Radicalization,
501,Defence,Radicalization,
502,Association,Radicalization,
503,Ulster Freedom Fighters,Radicalization,
504,Ulster Volunteer Force,Radicalization,
505,CAC INLA IPLO IRA LVF UDA UFF UVF,Radicalization,
506,eco-terrorism,Radicalization,
507,incels,Radicalization,
508,involuntary celibates,Radicalization,
509,764,Radicalization,
510,Gay,Hate Speech,
511,Homo,Hate Speech,
512,Beefer,Hate Speech,
513,Wap,Hate Speech,
514,Nip,Hate Speech,
515,Nigger,Hate Speech,
516,antisemitism,Hate Speech,
517,holocaust,Hate Speech,
518,spick,Hate Speech,
519,whitey,Hate Speech,
520,nigga,Hate Speech,
521,Adolf Hitler,Hate Speech,
522,fenian,Hate Speech,
523,war_against_ukraine,Hate Speech,
524,𝗢𝗳𝗳-𝗚𝗿𝗶𝗱 𝗜𝗿𝗲𝗹𝗮𝗻𝗱 𝗖𝗵𝗮𝘁 𝗴𝗿𝗼𝘂𝗽,Hate Speech,
525,paki,Hate Speech,
526,Worthless fucking niggers and muslim men,Hate Speech,
527,shabbos,Hate Speech,
528,Muh Democracy,Hate Speech,
529,Larry Murphy,Hate Speech,
530,"I HATE THE FUCKING JEWS, FUCK THEM ALL",Hate Speech,
531,Islamic culture,Hate Speech,
532,non believers,Hate Speech,
533,deport them all,Hate Speech,
534,pig,Hate Speech,
535,hate speech,Hate Speech,
536,Donate for the IDF,Hate Speech,
537,patriots,Hate Speech,
538,nazi,Hate Speech,
539,third reiche,Hate Speech,
540,3rd reiche,Hate Speech,
541,NF,Hate Speech,
542,National Front,Hate Speech,
543,anti white,Hate Speech,
544,EDL,Hate Speech,
545,demographic fractures,Hate Speech,
546,migrants,Hate Speech,
547,exploitation,Hate Speech,
548,mixed race,Hate Speech,
549,Tommy Robinson,Hate Speech,
550,Dogz Bollox Right Wing News (Official),Hate Speech,
551,FOREIGN NATIONAL,Hate Speech,
552,Noodlewhore,Hate Speech,
553,Sheboon,Hate Speech,
554,Negroid,Hate Speech,
555,Abo,Hate Speech,
556,Mongoloid,Hate Speech,
557,Zog,Hate Speech,
558,Ape,Hate Speech,
559,Ethnicel,Hate Speech,
560,Fairy,Hate Speech,
561,Queer,Hate Speech,
562,Dyke,Hate Speech,
563,Les,Hate Speech,
564,Sodomite,Hate Speech,
565,Poof,Hate Speech,
566,Fudgepacker,Hate Speech,
567,Genderbender,Hate Speech,
568,Nancy,Hate Speech,
569,Queen,Hate Speech,
570,Tranny,Hate Speech,
571,HeShe,Hate Speech,
572,109/110,Hate Speech,
573,Blut und Ehre,Hate Speech,
574,Blood and honor,Hate Speech,
575,celtic cross,Hate Speech,
576,dirlewanger,Hate Speech,
577,Waffen SS,Hate Speech,
578,Life Rune,Hate Speech,
579,Elhaz Rune,Hate Speech,
580,Algis RuneNazi,Hate Speech,
581,Norse,Hate Speech,
582,Sturmabteilung,Hate Speech,
583,volksfront,Hate Speech,
584,totenkopf,Hate Speech,
585,deaths head,Hate Speech,
586,Schutzstaffel,Hate Speech,
587,wolfs angel,Hate Speech,
588,wolfsangel,Hate Speech,
589,dopplehaken,Hate Speech,
590,wolfs hook,Hate Speech,
591,zyklon b,Hate Speech,
592,((())),Hate Speech,
593,pepe the frog,Hate Speech,
594,14 words,Hate Speech,
595,AKIA,Hate Speech,
596,A Klansman I Am,Hate Speech,
597,American Front,Hate Speech,
598,Anudda Shoah,Hate Speech,
599,Western culture,Hate Speech,
600,white race,Hate Speech,
601,non-white,Hate Speech,
602,Stephen Yaxley-Lennon,Hate Speech,
603,white pride,Extremist Political Association,
604,stormfront,Extremist Political Association,
605,EDL,Extremist Political Association,
606,English Defence League,Extremist Political Association,
607,KKK,Extremist Political Association,
608,Klu Klux Klan,Extremist Political Association,
609,Terrorism,Extremist Political Association,
610,@PatriotsOnlyWesternConservative,Extremist Political Association,
611,Traditional Britain Group,Extremist Political Association,
612,Illegal Migrants,Extremist Political Association,
613,right-wing,Extremist Political Association,
614,supremacy,Extremist Political Association,
615,AHO ДИАЛОГ,Extremist Political Association,
616,АВТОНОМНАЯ,Extremist Political Association,
617,НЕКОММЕРЧЕСКАЯ,Extremist Political Association,
618,ОРГАНИЗАЦИЯ,Extremist Political Association,
619,ПО,Extremist Political Association,
620,РАЗВИТИЮ,Extremist Political Association,
621,ЦИФРОВЫХ,Extremist Political Association,
622,ПРОЕКТОВ,Extremist Political Association,
623,В,Extremist Political Association,
624,СФЕРЕ,Extremist Political Association,
625,ОБЩЕСТВЕННЫХ,Extremist Political Association,
626,СВЯЗЕЙ,Extremist Political Association,
627,И,Extremist Political Association,
628,КОММУНИКАЦИЙ,Extremist Political Association,
629,ДИАЛОГ,Extremist Political Association,
630,IRA,Extremist Political Association,
631,PIRA,Extremist Political Association,
632,RIRA,Extremist Political Association,
633,Republican Army,Extremist Political Association,
634,Sien Fein,Extremist Political Association,
635,Revolutionary Nuclei,Extremist Political Association,
636,UVF,Extremist Political Association,
637,UDA,Extremist Political Association,
638,RHC,Extremist Political Association,
639,Red Hand,Extremist Political Association,
640,ADLAryan,Extremist Political Association,
641,Knights​,Extremist Political Association,
642,1-11,Extremist Political Association,
643,Arayn Brotherhood,Extremist Political Association,
644,12,Extremist Political Association,
645,Aryan Circle,Extremist Political Association,
646,33/6,Extremist Political Association,
647,Aryan Terror Brigade,Extremist Political Association,
648,right wing,Extremist Political Association,
649,left wing,Extremist Political Association,
650,islamist,Extremist Political Association,
651,National Action,Extremist Political Association,
652,Sonnenkrieg Division,Extremist Political Association,
653,Feuerkrieg Division,Extremist Political Association,
654,International Sikh Youth Federation,Extremist Political Association,
655,ISYF,Extremist Political Association,
656,Hezb-e Islami Gulbuddin,Extremist Political Association,
